subject,trial,EL_quality,AH_quality,EL_Right_P1_t_start,EL_Right_P1_t_end,EL_Right_P1_pos_start,EL_Right_P1_pos_end,EL_Right_P1_latency,EL_Right_P1_amp,EL_Right_P1_gain,EL_Right_P1_vel,EL_Right_P2_t_start,EL_Right_P2_t_end,EL_Right_P2_pos_start,EL_Right_P2_pos_end,EL_Right_P2_latency,EL_Right_P2_amp,EL_Right_P2_gain,EL_Right_P2_vel,EL_Left_P1_t_start,EL_Left_P1_t_end,EL_Left_P1_pos_start,EL_Left_P1_pos_end,EL_Left_P1_latency,EL_Left_P1_amp,EL_Left_P1_gain,EL_Left_P1_vel,EL_Left_P2_t_start,EL_Left_P2_t_end,EL_Left_P2_pos_start,EL_Left_P2_pos_end,EL_Left_P2_latency,EL_Left_P2_amp,EL_Left_P2_gain,EL_Left_P2_vel,EL_Avg_P1_t_start,EL_Avg_P1_t_end,EL_Avg_P1_pos_start,EL_Avg_P1_pos_end,EL_Avg_P1_latency,EL_Avg_P1_amp,EL_Avg_P1_gain,EL_Avg_P1_vel,EL_Avg_P2_t_start,EL_Avg_P2_t_end,EL_Avg_P2_pos_start,EL_Avg_P2_pos_end,EL_Avg_P2_latency,EL_Avg_P2_amp,EL_Avg_P2_gain,EL_Avg_P2_vel,AH_Right_P1_t_start,AH_Right_P1_t_end,AH_Right_P1_pos_start,AH_Right_P1_pos_end,AH_Right_P1_latency,AH_Right_P1_amp,AH_Right_P1_gain,AH_Right_P1_vel,AH_Right_P2_t_start,AH_Right_P2_t_end,AH_Right_P2_pos_start,AH_Right_P2_pos_end,AH_Right_P2_latency,AH_Right_P2_amp,AH_Right_P2_gain,AH_Right_P2_vel,AH_Left_P1_t_start,AH_Left_P1_t_end,AH_Left_P1_pos_start,AH_Left_P1_pos_end,AH_Left_P1_latency,AH_Left_P1_amp,AH_Left_P1_gain,AH_Left_P1_vel,AH_Left_P2_t_start,AH_Left_P2_t_end,AH_Left_P2_pos_start,AH_Left_P2_pos_end,AH_Left_P2_latency,AH_Left_P2_amp,AH_Left_P2_gain,AH_Left_P2_vel,AH_Avg_P1_t_start,AH_Avg_P1_t_end,AH_Avg_P1_pos_start,AH_Avg_P1_pos_end,AH_Avg_P1_latency,AH_Avg_P1_amp,AH_Avg_P1_gain,AH_Avg_P1_vel,AH_Avg_P2_t_start,AH_Avg_P2_t_end,AH_Avg_P2_pos_start,AH_Avg_P2_pos_end,AH_Avg_P2_latency,AH_Avg_P2_amp,AH_Avg_P2_gain,AH_Avg_P2_vel
AE11,1,1,1,1208,1236,-2.310497182,2.870665546,208,5.181162728,89.17213068,247.0456358,2240,2284,2.909956238,-10.46585262,240,-13.37580885,NaN,454.6758106,1208,1236,-2.015487311,3.447456708,208,5.462944019,94.02182165,252.3746125,2240,2284,3.14318707,-9.788290383,240,-12.93147745,NaN,430.4155938,1208,1236,-2.162992246,3.159061127,208,5.322053374,91.59697617,249.7101241,2240,2284,3.026571654,-10.1270715,240,-13.15364315,NaN,441.6244965,988,1028,39.70489295,46.61086572,-12,6.905972775,118.8575498,272.8185325,1896,1948,46.86451716,27.20249639,-104,-19.66202076,NaN,549.9188956,988,1028,-49.69036704,-38.90901966,-12,10.78134738,185.555978,416.1007825,1900,1948,-39.85889907,-55.45293143,-100,-15.59403236,NaN,624.6777943,988,1028,-4.992737044,3.850923032,-12,8.843660076,152.2067639,317.8559003,1896,1948,3.56735329,-14.12521752,-104,-17.69257081,NaN,587.298345
AE11,2,1,1,1252,1272,-1.811375311,0.822227513,252,2.633602824,89.82216559,168.8150249,2212,2256,0.28065755,-13.48303527,212,-13.76369282,NaN,444.7442255,1252,1276,-1.833510254,0.888684745,252,2.722194999,92.84370738,174.1491549,2208,2256,0.147715354,-13.20800639,208,-13.35572174,NaN,417.0325265,1252,1272,-1.822442783,0.816073942,252,2.638516724,89.98976001,171.4820899,2212,2256,0.172333826,-13.34552083,212,-13.51785466,NaN,430.888376,1056,1088,40.00647697,43.29874467,56,3.292267703,112.2867169,140.4497355,1892,1948,43.27410251,22.4649369,-108,-20.80916561,NaN,901.2247229,1052,1092,-49.92573015,-44.35530604,52,5.570424105,189.9859583,232.796399,1892,1940,-46.40900768,-56.35904049,-108,-9.950032807,NaN,423.7704985,1056,1088,-4.879865423,-0.611495672,56,4.26836975,145.5778415,186.6230673,1892,1944,-1.567452589,-16.91840888,-108,-15.35095629,NaN,646.894961
AE11,3,1,1,1228,1268,-2.477616053,-13.35725235,228,-10.8796363,95.19475758,379.1695695,1868,1900,-12.9837954,-6.945346306,-132,6.038449099,NaN,272.1203912,1228,1268,-2.480073375,-13.30363822,228,-10.82356484,94.70414292,357.070475,1868,1900,-12.83643631,-6.496129985,-132,6.340306324,NaN,281.5060202,1228,1268,-2.478844714,-13.33044528,228,-10.85160057,94.94945025,368.1200222,1868,1900,-12.91011586,-6.720738145,-132,6.189377711,NaN,276.8132057,1548,1604,23.66759694,32.42028021,548,8.752683268,NaN,271.8026456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1560,1596,-56.61753542,-53.52185234,560,3.095683082,NaN,117.3981518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1552,1600,-16.49328411,-10.64077376,552,5.852510351,NaN,192.6989596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE11,4,1,1,1188,1212,-2.059745991,1.922044483,188,3.981790473,68.52993411,210.4523683,2164,2212,3.130914295,-12.35339709,164,-15.48431139,NaN,514.6995017,1188,1212,-2.487445289,1.506352789,188,3.993798077,68.73659499,211.9752991,2164,2212,2.853475016,-11.92985629,164,-14.78333131,NaN,467.0382459,1188,1212,-2.27359564,1.714198636,188,3.987794275,68.63326455,211.2138337,2164,2212,2.992194656,-12.14162669,164,-15.13382135,NaN,490.8688738,1136,1152,45.40340267,47.04983217,136,1.646429503,28.33642456,120.466993,1848,1908,47.01222442,24.0975128,-152,-22.91471161,NaN,773.3543012,1136,1156,-43.22931167,-40.54497264,136,2.684339028,46.19971291,181.3196046,1848,1904,-41.26474558,-55.64053916,-152,-14.37579358,NaN,633.357352,1136,1156,1.087045501,3.32639421,136,2.23934871,38.5410585,150.8932988,1848,1908,2.873739417,-15.83192885,-152,-18.70566827,NaN,698.8456062
AE11,5,1,1,1224,1264,-2.639779359,-12.87621698,224,-10.23643762,89.56689092,377.1925254,2144,2188,-13.13798435,0.046776622,144,13.18476097,NaN,446.3097654,1224,1264,-2.669259126,-12.57169341,224,-9.902434283,86.64442496,358.205535,2144,2188,-12.88089623,0.923143121,144,13.80403935,NaN,491.291984,1224,1264,-2.654519242,-12.72395519,224,-10.06943595,88.10565793,367.6990302,2144,2188,-13.00944029,0.484959872,144,13.49440016,NaN,468.8008747,1000,1052,39.30838679,23.22275142,0,-16.08563537,140.7462637,767.1266296,1796,1852,23.87841486,42.07875307,-204,18.20033822,NaN,588.5843594,1008,1048,-50.47244177,-55.53214676,8,-5.059704988,44.2714606,239.3284503,1800,1852,-55.40569973,-43.75272664,-200,11.6529731,NaN,446.8244163,1004,1052,-5.632931847,-16.20327688,4,-10.57034503,92.48851753,503.2275399,1796,1852,-15.83041866,-0.836986781,-204,14.99343188,NaN,482.6746645
AE11,6,1,1,1244,1288,-2.315413018,8.920636206,244,11.23604922,91.46125199,385.7824398,1948,2008,9.29746989,-11.11439508,-52,-20.41186497,NaN,509.9065691,1248,1284,-2.56115985,8.58635472,248,11.14751457,90.74058142,397.5120876,1948,2004,8.901413357,-10.35868454,-52,-19.2600979,NaN,463.2989888,1244,1288,-2.482509561,8.799218363,244,11.28172792,91.83307584,390.2362114,1948,2004,9.099441624,-10.68911557,-52,-19.78855719,NaN,486.4083482,1000,1052,39.59976674,54.91855243,0,15.31878568,124.6946582,506.1971241,1612,1684,56.37469156,26.05496497,-388,-30.31972659,NaN,840.2376421,1000,1052,-50.30460667,-29.8201704,0,20.48443627,166.7429673,873.8934997,1612,1684,-30.21575673,-54.63682004,-388,-24.4210633,NaN,962.2100822,1000,1052,-5.352419963,12.54919101,0,17.90161097,145.7188127,685.1837072,1612,1684,13.07946741,-14.29092753,-388,-27.37039495,NaN,883.780858
AE11,7,1,1,1236,1268,-2.030240474,2.44567003,236,4.475910505,77.03415187,215.780607,1940,1984,2.89767819,-10.3277112,-60,-13.22538939,NaN,441.524379,1236,1268,-2.715932526,1.968767207,236,4.684699732,80.62758856,217.9228446,1936,1984,2.634865928,-9.943617471,-64,-12.5784834,NaN,410.9589003,1236,1268,-2.3730865,2.207218618,236,4.580305119,78.83087022,216.8517258,1940,1984,2.724504958,-10.13566433,-60,-12.86016929,NaN,426.2416396,1004,1036,40.26595128,45.95431518,4,5.688363903,97.90148581,296.5230637,1616,1676,46.99804114,27.46845663,-384,-19.52958451,NaN,665.1709976,1008,1036,-50.1526122,-42.41962355,8,7.732988652,133.0911826,504.5654037,1616,1672,-41.45783866,-54.16014155,-384,-12.70230289,NaN,490.1535746,1004,1036,-5.001180244,1.767345816,4,6.76852606,116.4919772,400.5442337,1616,1676,2.770101241,-13.39380204,-384,-16.16390328,NaN,545.9380855
AE11,8,1,1,1408,1448,-2.285917491,8.381645919,408,10.66756341,92.88401646,380.3796727,1992,2036,8.475598215,-6.104534595,-8,-14.58013281,NaN,487.9441108,1408,1448,-2.516932116,8.270772046,408,10.78770416,93.93009934,406.1964051,1992,2036,7.91121262,-5.685551733,-8,-13.59676435,NaN,464.3759719,1408,1448,-2.401424803,8.326208982,408,10.72763379,93.40705794,392.8398436,1992,2036,8.193405418,-5.895043164,-8,-14.08844858,NaN,476.1600414,1172,1224,39.76602179,54.33348865,172,14.56746686,126.8410395,431.7812307,1680,1740,54.41123201,33.37290529,-320,-21.03832671,NaN,654.7137331,1176,1216,-50.26142785,-30.41628915,176,19.8451387,172.794491,857.160278,1684,1736,-31.32832721,-52.08417923,-316,-20.75585201,NaN,691.6415886,1172,1220,-5.309777097,11.98729516,172,17.29707225,150.6081081,635.6099853,1680,1740,11.60723756,-9.381711287,-320,-20.98894885,NaN,623.9564971
AE11,9,1,1,1204,1248,-2.411264921,-14.36668791,204,-11.95542299,98.20727004,430.0920785,1780,1816,-13.71096944,-5.400194149,-220,8.310775289,NaN,321.0898499,1204,1244,-2.735583408,-14.35051426,204,-11.61493085,95.41031308,402.794476,1780,1816,-13.81316394,-5.329422364,-220,8.483741571,NaN,317.2052851,1204,1244,-2.573424165,-14.28115079,204,-11.70772663,96.17257973,416.4432773,1780,1816,-13.76206669,-5.364808257,-220,8.39725843,NaN,319.1475675,1492,1540,23.17128302,34.75327049,492,11.58198747,NaN,460.7023983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1500,1536,-55.95348532,-51.76758919,500,4.185896125,NaN,173.6214617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1496,1540,-16.36213692,-8.455876151,496,7.906260767,NaN,316.5955577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE11,10,1,1,1224,1264,-2.271169272,7.502631303,224,9.773800574,85.10189427,334.1061219,2176,2224,8.34790835,-8.886994895,176,-17.23490324,NaN,569.6201628,1224,1264,-2.585729497,7.163577566,224,9.749307063,84.88862573,341.6120705,2176,2224,7.935364089,-8.18636964,176,-16.12173373,NaN,512.1181859,1224,1264,-2.428449384,7.333104434,224,9.761553819,84.99526,337.8590962,2176,2224,8.141636219,-8.536682267,176,-16.67831849,NaN,538.4342886,984,1032,39.10062402,52.1226995,-16,13.02207548,113.3850934,489.4628942,1812,1864,54.3290862,28.80918656,-188,-25.51989964,NaN,761.9898133,984,1032,-50.366883,-31.68826828,-16,18.67861472,162.6373981,603.0304907,1816,1860,-31.31460138,-53.35963962,-184,-22.04503824,NaN,793.911496,984,1032,-5.633129491,10.21721561,-16,15.8503451,138.0112457,531.1078315,1812,1864,11.57553052,-12.33318643,-188,-23.90871695,NaN,728.2901438
AE11,11,1,1,1236,1280,-2.426010182,-13.28498426,236,-10.85897408,95.01396707,348.5813651,1892,1936,-13.07259437,-0.0541624,-108,13.01843197,NaN,413.0731934,1236,1280,-2.96152111,-13.5342423,236,-10.57272119,92.50930848,319.9750576,1892,1940,-13.20100599,0,-108,13.20100599,NaN,431.5100404,1236,1280,-2.693765646,-13.40961328,236,-10.71584763,93.76163773,334.2782113,1892,1940,-13.13680018,-0.033236013,-108,13.10356417,NaN,421.9052124,1596,1652,24.05112423,41.72525664,596,17.6741324,NaN,727.5913151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1604,1652,-55.96157504,-45.15765056,604,10.80392449,NaN,481.6354491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1600,1652,-15.94965428,-1.716196961,600,14.23345732,NaN,604.6133821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE11,12,1,1,1228,1268,-2.126129383,7.727569568,228,9.853698951,85.79758098,365.0620238,1980,2032,8.321396169,-9.402935349,-20,-17.72433152,NaN,509.9917984,1228,1264,-2.774883236,7.224160573,228,9.999043809,87.06311967,377.6485017,1976,2032,7.918458358,-8.891801175,-24,-16.81025953,NaN,471.8197033,1228,1264,-2.450506309,7.391221848,228,9.841728157,85.69334955,371.3552627,1980,2032,8.016021575,-9.147368262,-20,-17.16338984,NaN,490.9057508,1028,1080,39.41334892,53.1411422,28,13.72779328,119.5298803,398.1923556,1704,1768,54.40215591,28.12652846,-296,-26.27562745,NaN,668.6183473,1028,1076,-50.36099013,-31.93259782,28,18.42839231,160.4586754,624.0050756,1704,1764,-31.45684311,-54.19694393,-296,-22.74010082,NaN,752.4084528,1028,1080,-5.473820605,10.64965743,28,16.12347803,140.3894536,473.3146121,1704,1768,11.4726564,-13.07400835,-296,-24.54666476,NaN,693.4860088
AE11,13,1,1,1228,1260,-2.204798587,4.936226069,228,7.141024656,82.46497431,290.6913913,2056,2104,5.897558199,-8.999909015,56,-14.89746721,NaN,482.3989057,1228,1260,-2.865754019,4.371268989,228,7.237023008,83.57356895,294.2652696,2056,2100,4.904456454,-9.050337284,56,-13.95479374,NaN,449.3966852,1228,1260,-2.535276303,4.653747529,228,7.189023832,83.01927163,292.4783304,2056,2104,5.401007327,-9.043128921,56,-14.44413625,NaN,464.6098265,1016,1068,39.44258956,48.98173521,16,9.539145655,110.1586172,382.117363,1752,1808,51.03460908,28.98219264,-248,-22.05241644,NaN,618.4855334,1024,1064,-50.74076907,-37.23072647,24,13.5100426,156.0147695,489.5463322,1752,1808,-36.41552794,-53.94944072,-248,-17.53391278,NaN,657.8511219,1020,1064,-5.525552348,5.807045507,20,11.33259786,130.8695091,427.8355453,1752,1808,7.30954057,-12.48362404,-248,-19.79316461,NaN,615.3238778
AE11,14,1,1,1280,1320,-2.448127471,-12.74512725,280,-10.29699978,90.09679835,392.0782359,1948,1996,-12.93235642,-0.292966882,-52,12.63938954,NaN,388.5146079,1280,1320,-2.99343982,-12.8060073,280,-9.812567479,85.85810745,366.8031592,1948,1996,-13.30596976,-0.189567766,-52,13.116402,NaN,404.4178507,1280,1320,-2.720783645,-12.77556727,280,-10.05478363,87.9774529,379.4406976,1948,1996,-13.11916309,-0.241267324,-52,12.87789577,NaN,396.4662293,1052,1108,39.00637556,23.60087429,52,-15.40550127,134.7952191,630.8379376,1632,1692,23.92877753,41.7131393,-368,17.78436177,NaN,505.7677283,1060,1104,-51.04978169,-55.79568377,60,-4.745902087,41.52574463,182.9084656,1636,1688,-56.22086241,-46.16691166,-364,10.05395075,NaN,298.2863819,1056,1104,-6.047707451,-16.00333769,56,-9.955630235,87.10987947,406.8732016,1636,1692,-16.05725299,-2.228279295,-364,13.82897369,NaN,368.9812777
AE11,15,1,1,1204,1224,-1.838429056,0.364360436,204,2.202789492,75.12876304,130.1339031,1816,1848,0.504682193,-5.290368865,-184,-5.795051058,NaN,268.6664806,1204,1224,-2.863298239,-0.539146324,204,2.324151915,79.26797323,132.5892524,1816,1848,-0.356974945,-5.826907093,-184,-5.469932149,NaN,268.5125581,1204,1224,-2.350863648,-0.087392944,204,2.263470704,77.19836815,131.3615777,1816,1848,0.073853624,-5.558637979,-184,-5.632491603,NaN,268.5895194,1516,1556,43.36843065,34.55356357,516,-8.814867079,NaN,359.474179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1516,1552,-47.00424976,-51.83955082,516,-4.835301069,NaN,205.4772941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1516,1552,-1.817909555,-8.549839671,516,-6.731930117,NaN,267.6822326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE11,16,1,1,1196,1224,-2.256420752,3.113731926,196,5.370152677,92.42480528,249.3001483,1976,2016,2.927145057,-7.146611432,-24,-10.07375649,NaN,365.962207,1196,1224,-2.831372152,2.566073855,196,5.397446007,92.89454625,254.7109206,1976,2012,2.435840178,-6.867703808,-24,-9.303543986,NaN,342.7457389,1196,1224,-2.543896452,2.839902891,196,5.383799342,92.65967576,252.0055345,1976,2012,2.681492618,-6.939270525,-24,-9.620763143,NaN,354.353973,968,1012,39.58935815,46.11982929,-32,6.530471142,112.3948536,223.9230358,1660,1708,46.73209176,32.0686208,-340,-14.66347095,NaN,462.9972993,968,1012,-50.00158277,-40.49686279,-32,9.504719983,163.5841561,429.7780118,1664,1708,-40.95960808,-52.36474508,-336,-11.405137,NaN,454.0749121,968,1012,-5.206112313,2.811483249,-32,8.017595562,137.9895048,326.4179278,1660,1708,2.941746415,-10.14806214,-340,-13.08980856,NaN,458.5361057
AE11,17,1,1,1244,1264,-2.194965385,-0.295428745,244,1.899536641,64.78596285,118.7378076,1932,1960,0.354513112,-5.434353938,-68,-5.788867049,NaN,272.390084,1244,1264,-2.917322939,-0.900991383,244,2.016331556,68.76939273,124.3969852,1932,1960,-0.475141217,-5.692864935,-68,-5.217723718,NaN,262.8800852,1244,1264,-2.556144162,-0.598210064,244,1.957934098,66.77767777,121.5673964,1932,1960,-0.060314053,-5.563609436,-68,-5.503295384,NaN,267.6350846,1016,1036,40.18876152,42.11950929,16,1.930747767,65.85045553,109.415955,1608,1644,43.07059553,34.61380728,-392,-8.456788248,NaN,457.1840905,1016,1036,-49.67140991,-47.75677654,16,1.914633374,65.30085493,116.8374997,1608,1636,-46.75763406,-51.59242917,-392,-4.834795112,NaN,239.1926374,1016,1036,-4.741324195,-2.818633625,16,1.92269057,65.57565521,109.8323127,1608,1640,-1.843519267,-8.478881518,-392,-6.635362252,NaN,334.3806564
AE11,18,1,1,1196,1220,-2.197423698,-5.270840265,196,-3.073416567,106.9436483,174.5921162,2200,2240,-4.958218636,3.852027051,200,8.810245688,NaN,308.9120386,1196,1220,-2.725758047,-5.670924771,196,-2.945166723,102.4810231,166.7306651,2200,2240,-5.287927857,3.501420195,200,8.789348053,NaN,315.0960531,1196,1220,-2.461590873,-5.470882518,196,-3.009291645,104.7123357,170.6613907,2200,2240,-5.123073247,3.676723623,200,8.79979687,NaN,312.0040459,1136,1172,39.50319678,34.65159366,136,-4.851603116,168.8180323,196.6465468,2140,2196,35.91968849,47.30420197,140,11.38451349,NaN,368.3916178,1140,1164,-50.25265499,-51.68303086,140,-1.430375866,49.77184517,70.03569931,2144,2196,-51.74048352,-37.77588435,144,13.96459917,NaN,561.1317436,1140,1168,-5.466253549,-8.475803139,140,-3.009549589,104.7213112,132.1523831,2144,2196,-7.821762457,4.764158811,144,12.58592127,NaN,454.1201252
AE11,19,1,1,1188,1228,-2.32032882,-12.33930087,188,-10.01897205,82.30038322,361.1069377,1972,2016,-13.27798828,-1.850725942,-28,11.42726234,NaN,363.3704854,1188,1228,-2.868209788,-12.46141756,188,-9.593207774,78.80296223,340.2466049,1976,2020,-13.43646438,-1.570316779,-24,11.8661476,NaN,372.7306324,1188,1228,-2.594269304,-12.40035922,188,-9.806089911,80.55167272,349.8523352,1976,2020,-13.32340207,-1.699454102,-24,11.62394797,NaN,368.0505589,1136,1188,39.21957641,23.92609907,136,-15.29347734,125.6275633,470.9430399,1920,1984,22.94629137,38.92617539,-80,15.97988402,NaN,420.7577672,1140,1188,-50.40961316,-55.42076815,140,-5.011154995,41.16390129,151.9594833,1928,1984,-56.13016417,-47.37815275,-72,8.752011421,NaN,248.9613382,1136,1188,-5.546120903,-15.74733454,136,-10.20121364,83.79739834,311.4512616,1924,1984,-16.55623492,-4.22598868,-76,12.33024624,NaN,300.3228727
AE11,20,1,1,1228,1268,-2.079415729,7.717899685,228,9.797315413,85.30664137,370.1198718,1912,1972,8.540615257,-10.7156225,-88,-19.25623775,NaN,513.5246655,1228,1268,-2.99343982,6.632196215,228,9.625636034,83.8118042,378.776924,1912,1968,7.413074621,-10.66094589,-88,-18.07402051,NaN,474.433132,1228,1268,-2.536427774,7.17504795,228,9.711475724,84.55922279,374.4483979,1912,1972,7.976844939,-10.71324564,-88,-18.69009058,NaN,492.8759076,1140,1188,39.93944953,52.23788599,140,12.29843645,107.0842637,422.1997502,1820,1892,55.08306079,26.41176833,-180,-28.67129246,NaN,639.3449596,1140,1192,-50.24903059,-31.80091758,140,18.44811301,160.6303864,629.5894569,1820,1888,-31.57086032,-54.38346431,-180,-22.81260399,NaN,707.5350029,1140,1192,-5.154790529,10.29310522,140,15.44789575,134.5070611,507.3589773,1820,1892,11.75610023,-14.0342678,-180,-25.79036803,NaN,669.6792775
AE11,21,1,1,1164,1196,-2.207256867,3.675532186,164,5.882789054,51.22229457,279.800114,2184,2228,8.265950021,-9.477202013,184,-17.74315203,NaN,568.4288328,1164,1196,-2.865754019,2.890311232,164,5.756065251,50.1188921,273.388883,2184,2228,7.563121735,-9.062341934,184,-16.62546367,NaN,507.4461136,1164,1196,-2.536505443,3.282921709,164,5.819427152,50.67059333,276.5944985,2184,2228,7.914535878,-9.269771974,184,-17.18430785,NaN,537.9374732,1072,1124,39.20253817,46.95225384,72,7.749715672,67.47789447,251.8458899,2084,2152,54.71391869,28.04367382,84,-26.67024487,NaN,737.9395719,1076,1120,-50.28204102,-38.86188379,76,11.42015723,99.43695963,451.4302218,2088,2152,-31.70299924,-53.9039475,88,-22.20094826,NaN,753.8978029,1072,1120,-5.583572179,3.973983185,72,9.557555364,83.21901597,351.0350638,2084,2152,11.55616732,-12.93013684,84,-24.48630416,NaN,707.6748662
AE11,22,1,1,1196,1224,-2.308039251,3.064636365,196,5.372675616,92.46822716,250.9422131,2012,2044,2.988529369,-4.821352446,12,-7.809881815,NaN,320.2244336,1196,1224,-2.637322648,2.620125403,196,5.257448051,90.48506469,255.9539674,2012,2044,2.305581311,-4.83113045,12,-7.136711762,NaN,304.6362047,1196,1224,-2.472680949,2.842380884,196,5.315061833,91.47664592,253.4480902,2012,2044,2.64705534,-4.826241448,12,-7.473296789,NaN,312.4303192,1136,1180,39.33436031,45.73097846,136,6.396618151,110.091132,227.6245828,1944,1996,46.56291235,35.18199389,-56,-11.38091847,NaN,414.5546359,1136,1176,-50.01094435,-39.78150732,136,10.22943703,176.0571407,428.7692443,1948,1992,-41.22779205,-51.02993243,-52,-9.802140384,NaN,403.9483439,1136,1176,-5.338292021,2.88104399,136,8.219336011,141.4616261,327.5730698,1944,1992,2.741911881,-7.833411639,-56,-10.57532352,NaN,407.359689
AE11,23,1,1,1168,1204,-2.322786709,4.716221234,168,7.039007943,81.28687929,271.6096333,2084,2132,5.485586348,-9.472411582,84,-14.95799793,NaN,444.9118176,1168,1208,-2.772427073,4.45692604,168,7.229353113,83.48499655,272.8707054,2084,2132,4.948444342,-8.838925166,84,-13.78736951,NaN,415.2494945,1168,1204,-2.547606891,4.455610137,168,7.003217028,80.87356369,272.2401693,2084,2132,5.217015345,-9.155668374,84,-14.37268372,NaN,430.080656,1088,1140,39.38396592,48.31489364,88,8.930927723,103.1348806,294.5240606,2000,2068,50.06117228,27.97615972,0,-22.08501256,NaN,535.047027,1088,1140,-50.20036477,-35.66934478,88,14.53101999,167.8050767,480.1547772,2000,2064,-34.9312124,-53.65339682,0,-18.72218441,NaN,652.1900364,1088,1140,-5.408199424,6.32277443,88,11.73097385,135.4699786,373.688772,2000,2064,7.564979938,-12.74120355,0,-20.30618349,NaN,589.6091312
AE11,24,1,1,1244,1288,-2.084333087,8.246660745,244,10.33099383,89.95345648,357.0017206,2032,2084,8.369597458,-8.087452758,32,-16.45705022,NaN,479.34639,1244,1284,-2.62503895,7.468749302,244,10.09378825,87.88807321,362.957817,2032,2080,7.301683113,-7.855653518,32,-15.15733663,NaN,439.3898205,1244,1284,-2.354686018,7.7756878,244,10.13037382,88.20662906,359.9797688,2032,2080,7.835640286,-7.865316816,32,-15.7009571,NaN,459.278348,1188,1248,39.56357129,53.40451247,188,13.84094117,120.5150753,394.5554282,1976,2040,55.02809103,30.12538377,-24,-24.90270726,NaN,576.5053076,1188,1244,-50.0948495,-29.89288886,188,20.20196064,175.9013912,611.8198909,1972,2040,-31.47888431,-52.76724495,-28,-21.28836063,NaN,693.1519636,1188,1248,-5.265639101,11.80889754,188,17.07453665,148.6704585,490.2939185,1972,2040,11.84513739,-11.32093059,-28,-23.16606798,NaN,633.109047
AE11,25,1,1,1252,1292,-2.049910939,7.459067765,252,9.508978704,82.79605197,345.7123827,2044,2092,8.473189753,-7.541347126,44,-16.01453688,NaN,467.7055788,1252,1292,-2.730670748,6.88469028,252,9.615361028,83.72233824,351.7045327,2044,2092,7.430020584,-7.546186117,44,-14.9762067,NaN,430.9208928,1252,1292,-2.390290843,7.171879023,252,9.562169866,83.2591951,348.6736964,2044,2092,7.951605169,-7.543766622,44,-15.49537179,NaN,449.3132358,1164,1220,39.5243991,52.33449638,164,12.81009728,111.5393685,388.667192,1928,2000,55.08944048,30.85200441,-72,-24.23743607,NaN,581.6074973,1172,1220,-49.91135319,-31.93187507,172,17.97947812,156.5499147,594.7364249,1932,2000,-31.5775512,-52.4676062,-68,-20.89005501,NaN,682.7272,1168,1220,-5.164370104,10.20131065,168,15.36568076,133.7912033,467.5513427,1932,2000,11.68594393,-10.8078009,-68,-22.49374482,NaN,627.9486626
AE11,26,1,1,1196,1232,-2.546417609,-11.4174937,196,-8.871076088,102.8951385,344.0308682,1968,2004,-10.40394227,-4.535223602,-32,5.868718667,NaN,225.7605514,1196,1232,-2.875577031,-11.2115508,196,-8.335973766,96.68851516,320.6535958,1968,2004,-10.40632389,-4.219485812,-32,6.186838079,NaN,231.5335339,1196,1232,-2.71099732,-11.31452225,196,-8.603524927,99.79182681,332.342232,1968,2004,-10.40513308,-4.377354707,-32,6.027778373,NaN,228.5362531,1104,1156,38.32802428,24.83106517,104,-13.49695911,156.5505089,423.9734701,1876,1924,27.03741674,35.13888759,-124,8.101470852,NaN,273.9877366,1108,1152,-49.91018672,-54.41187254,108,-4.501685819,52.21481375,136.3829584,1880,1920,-54.06533371,-50.98658115,-120,3.078752552,NaN,99.7329585,1104,1152,-5.727868622,-14.70898343,104,-8.981114812,104.1714718,274.3321776,1880,1924,-13.44000586,-7.862642449,-120,5.57736341,NaN,185.4113613
